provinsi;6.1.1;6.2.1(a);6.2.1(b);6.2.1(c);6.3.2;6.6.1
ACEH;89,74;72,59;78,85;91;61,3;76,51
SUMATERA UTARA;92,19;73,92;84,18;95,22;60,27;49,77
SUMATERA BARAT;85,59;88,77;70,97;90,69;57,05;68,98
RIAU;90,47;72,29;84,58;97,36;50,84;51,69
JAMBI;80,02;73,41;83,04;94,55;46,06;50,61
SUMATERA SELATAN;87,19;75,24;80,54;94,62;58,16;44,38
BENGKULU;73,08;81,41;80,28;94,88;48,98;55,8
LAMPUNG;82,78;79,39;84,58;98,36;55,36;38,42
KEPULAUAN BANGKA BELITUNG;81,64;88,17;93,21;98,15;57,43;40,09
KEPULAUAN RIAU;92,1;85,97;91,1;99,54;54,93;66,97
DKI JAKARTA;99,42;76,83;93,5;99,87;40,76;27,17
JAWA BARAT;93,86;82,03;74,88;97,48;46,87;41,99
JAWA TENGAH;93,76;86,15;85,2;97,1;51,23;46,34
DAERAH ISTIMEWA YOGYAKARTA;96,69;84,29;96,42;99,41;40,28;48,68
JAWA TIMUR;96,01;83,37;83,72;94,7;55,86;49,7
BANTEN;92,95;82,79;86,41;95,05;58,93;43,13
BALI;98,31;90,54;95,7;97,39;55,17;45,22
NUSA TENGGARA BARAT;96,03;75,48;85,11;91,51;47,78;66,6
NUSA TENGGARA TIMUR;88,35;43,5;75,67;94,16;54,65;59,32
KALIMANTAN BARAT;82,08;77,59;79,89;99,92;52,97;60,62
KALIMANTAN TENGAH;77,72;75,67;76,31;97,47;53,9;75,64
KALIMANTAN SELATAN;76,29;83,31;82,89;98,07;55,64;52,08
KALIMANTAN TIMUR;87,9;78,87;91,21;99,94;52,64;83,86
SULAWESI UTARA;94,37;86,48;85,91;94,33;52,12;62,33
SULAWESI TENGAH;86,85;78,81;75,8;98,6;63,63;83,19
SULAWESI SELATAN;92,12;85,52;93,69;97,74;57,95;56,22
SULAWESI TENGGARA;94,8;84,74;88,99;95,66;61,28;74,86
GORONTALO;96;82,44;81,72;90,58;58,7;80,24
SULAWESI BARAT;79,86;77,18;80,73;91,12;58,82;73,68
MALUKU;92,98;74,11;78,17;98,59;55,87;90,73
MALUKU UTARA;89,01;83,62;80,64;94,63;61,05;86,64
PAPUA;66,49;31,78;43;97,7;54,73;100
PAPUA BARAT;81,57;65,38;76,3;96,62;59,52;100
KALIMANTAN UTARA;90,19;76,24;84,22;98,78;55,93;100
